Asset Group,Class,Category,defect
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خزان الكيروسين,تسريب كيروسين
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خزان الكيروسين,نقص كيروسين
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خزان الكيروسين,لا يوجد كيروسين 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خزان الكيروسين,مقياس منسوب الكيروسين لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خزان الكيروسين,لا يوجد خزان الكيروسين
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,لا تعمل 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,كسر في باب وحدة التحكم
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,كسر في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة التحكم بالمواقد,التماس 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,لا تعمل 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,كسر في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,التماس 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,فقد صفارة الإنذار
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة انذار الحريق,تلف صفارة الإنذار
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,موقد,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,موقد,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,موقد,تلف في احد مكونات الموقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,موقد,فقدان احد المواقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,موقد,تسريب من صمام التحكم بالكيروسين
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,موقد,انسداد جزئي  بالموقد 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,شبك منطقة الطهي,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,شبك منطقة الطهي,تالف 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,لا يعمل 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,تسريب مياه من وحدة التكييف
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,كسر احد مكونات وحدة التكييف 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,تسريب مياه من تمديدات وحدة التكييف
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,انقطاع مياه 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,فقدان احد مكونات وحدة التكييف 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,وحدة التكييف,انقطاع الكهرباء عن وحدة التكييف 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,المدخنة,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,المدخنة,فقدان في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,المدخنة,ميل في المدخنة
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,المدخنة,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مروحة الشفط,عدم وجود مروحة الشفط
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مروحة الشفط,مروحة الشفط لا تعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مروحة الشفط,تلف في احد أجزاء  مروحة الشفط
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مروحة الشفط,فقدان في احد مكونات مروحة الشفط
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مروحة الشفط,ميلان مروحة الشفط
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مروحة الشفط,التماس كهربائي في مروحة الشفط
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,كاشف الحرارة,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,كاشف الحرارة,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مصيدة الدهون,طفح مصيدة الدهون
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مصيدة الدهون,فقدان في احد مكونات مصيدة الدهون
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,مصيدة الدهون,انسداد 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صنبور المياه,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صنبور المياه,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صنبور المياه,انقطاع المياه
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صنبور المياه,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صفاية حوض الغسيل,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صفاية حوض الغسيل,كسر احد الأجزاء
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صفاية حوض الغسيل,انسداد 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,تلف احد السواتر 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,فقدان احد السواتر
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,تلف قبة الخيمة
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,فقدان قبة الخيمة
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,عامود الخيمة مائل
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,تلف القواطع الرئيسية 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,فقدان القواطع الرئيسية
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,خيمة المطبخ,تلف في أرضية الخيمة 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,رشاشات الحريق,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,رشاشات الحريق,تالف
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,رشاشات الحريق,تسرب مياه 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة الكهرباء,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة الكهرباء,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة الكهرباء,التماس
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة الكهرباء,حريق 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة الكهرباء,فقدان في احد الأجزاء 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,لوحة الكهرباء,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة الإضاءة,لا تعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة الإضاءة,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة الإضاءة,تعمل جزئيا 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,صندوق المفاتيح والأفياش,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,صندوق المفاتيح والأفياش,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,صندوق المفاتيح والأفياش,حريق 
